x,density
0.2311111111111111,0.00046902964413948804
10.200283895006118,0.00047260749585209517
20.169456678901124,0.00047603979452190236
30.138629462796132,0.00047932365761533586
40.107802246691136,0.00048245637201369635
50.07697503058614,0.0004854353984974194
60.04614781448115,0.0004882583758782817
70.01532059837615,0.0004909231247694533
79.98449338227115,0.0004934276509843342
89.95366616616616,0.0004957701485562188
99.92283895006116,0.000497949002371966
109.89201173395617,0.0004999627904139502
119.86118451785119,0.0005018102856057809
129.8303573017462,0.0005034904572584032
139.7995300856412,0.0005050024721143828
149.7687028695362,0.0005063456949893718
159.73787565343122,0.000507519689010907
169.70704843732622,0.0005085242154558841
179.67622122122123,0.0005093592331891889
189.64539400511623,0.0005100248977071571
199.61456678901123,0.000510521559790611
209.58373957290624,0.0005108497637733575
219.55291235680124,0.0005110102454331187
229.52208514069625,0.0005110039295128693
239.49125792459128,0.0005108319268816256
249.46043070848629,0.000510495531344651
259.42960349238126,0.0005099962161140146
269.39877627627624,0.0005093356299512944
279.36794906017127,0.0005085155929950813
289.33712184406625,0.0005075380922867092
299.3062946279613,0.0005064052770083809
309.27546741185625,0.0005051194534485265
319.2446401957513,0.0005036830797098765
329.2138129796463,0.0005020987601762562
339.1829857635413,0.0005003692397546532
349.15215854743633,0.0004984973979095004
359.1213313313313,0.0004964862425065486
369.09050411522634,0.0004943389034839569
379.0596768991213,0.000492058626368534
389.02884968301635,0.0004896487656552064
398.9980224669113,0.00048711277806793305
408.96719525080636,0.00048445421572034317
418.93636803470133,0.00048167671919436997
428.90554081859636,0.00047878401055507087
438.87471360249134,0.0004757798863197348
448.8438863863864,0.0004726682103991575
458.81305917028135,0.0004694529070287515
468.7822319541764,0.00046613795370684336
478.7514047380714,0.0004627273741571732
488.7205775219664,0.00045922523133220687
498.6897503058614,0.00045563562047343177
508.6589230897564,0.0004519626622442943
518.6280958736514,0.00044821049595093147
528.5972686575465,0.00044438327286523975
538.5664414414414,0.0004404851496642417
548.5356142253364,0.0004365202819990426
558.5047870092314,0.00043249281820600613
568.4739597931265,0.00042840689317206896
578.4431325770214,0.0004242666223653799
588.4123053609164,0.00042007609604171936
598.3814781448115,0.00041583937363635947
608.3506509287065,0.0004115604783502832
618.3198237126014,0.0004072433919388481
628.2889964964965,0.00040289204971022174
638.2581692803915,0.0003985103357400875
648.2273420642865,0.00039410207830832165
658.1965148481816,0.00038967104556256204
668.1656876320765,0.0003852209414127597
678.1348604159715,0.0003807554016600424
688.1040331998665,0.00037627799036244754
698.0732059837616,0.00037179219643928375
708.0423787676565,0.0003673014305151835
718.0115515515515,0.0003628090220041447
727.9807243354466,0.00035831821643316793
737.9498971193416,0.0003538321730044025
747.9190699032365,0.00034935396239408196
757.8882426871315,0.00034488656478585483
767.8574154710266,0.0003404328681355585
777.8265882549216,0.00033599566666387196
787.7957610388165,0.0003315776595727767
797.7649338227116,0.0003271814499812099
807.7341066066066,0.0003228095440748385
817.7032793905016,0.00031846435046444617
827.6724521743967,0.00031414817974698985
837.6416249582916,0.00030986324426303044
847.6107977421866,0.0003056116580439036
857.5799705260816,0.00030139543694168
867.5491433099767,0.0002972164989347092
877.5183160938716,0.00029307666460130034
887.4874888777666,0.00028897765775390255
897.4566616616617,0.0002849211062259728
907.4258344455567,0.000280908542803602
917.3950072294516,0.00027694140629385766
927.3641800133466,0.00027302104272174885
937.3333527972417,0.00026914870664767633
947.3025255811367,0.00026532556259722544
957.2716983650317,0.00026155268659518416
967.2408711489267,0.00025783106779573103
977.2100439328217,0.0002541616102007849
987.1792167167167,0.0002505451344586481
997.1483895006118,0.00024698237973517183
1007.1175622845067,0.00024347400564982716
1017.0867350684017,0.00024002059426924156
1027.0559078522967,0.00023662265215093403
1037.025080636192,0.00023328061243018866
1046.9942534200868,0.00022999483694323493
1056.963426203982,0.00022676561838011936
1066.9325989878769,0.00022359318246091447
1076.9017717717718,0.0002204776901291524
1086.870944555667,0.00021741923975665352
1096.8401173395619,0.00021441786935417613
1106.8092901234568,0.00021147355878260325
1116.778462907352,0.00020858623195966862
1126.7476356912468,0.00020575575905750428
1136.716808475142,0.00020298195868658907
1146.685981259037,0.00020026460006196818
1156.6551540429318,0.00019760340514789787
1166.624326826827,0.000194998050777372
1176.593499610722,0.0001924481707432549
1186.562672394617,0.00018995335785804978
1196.531845178512,0.00018751316597958735
1206.5010179624069,0.0001851271120002088
1216.470190746302,0.00018279467779727584
1226.439363530197,0.00018051531214309646
1236.4085363140919,0.00017828843257260997
1246.377709097987,0.0001761134272074169
1256.346881881882,0.00017398965653496356
1266.316054665777,0.00017191645514192544
1276.285227449672,0.00016989313340103464
1286.254400233567,0.0001679189791108097
1296.223573017462,0.00016599325908782356
1306.192745801357,0.00016411522071134218
1316.1619185852521,0.0001622840934203168
1326.131091369147,0.0001604990901628862
1336.100264153042,0.0001587594087986808
1346.069436936937,0.0001570642334543622
1356.038609720832,0.00015541273583295108
1366.007782504727,0.00015380407647761047
1375.976955288622,0.00015223740599064993
1385.946128072517,0.00015071186620861703
1395.9153008564122,0.00014922659133440397
1405.884473640307,0.00014778070902739092
1415.853646424202,0.00014637334145268206
1425.8228192080971,0.00014500360629056538
1435.791991991992,0.00014367061770734706
1445.7611647758872,0.0001423734872887593
1455.7303375597821,0.00014111132493715368
1465.699510343677,0.00013988323973371589
1475.6686831275722,0.00013868834076693814
1485.637855911467,0.00013752573792859488
1495.607028695362,0.00013639454267845382
1505.5762014792572,0.0001352938687789494
1515.545374263152,0.0001342228330010245
1525.5145470470472,0.00013318055580232156
