Distribuzione,FitType,Parametri,KS_pvalue,AIC,BIC,MSE_KDE_PDF,FitMean,FitStd,Plausible
Lognormale,Best-MSE (curve_fit),[   0.24601912 -168.41875382  186.30272434],7.736714532826664e-21,2068.291973782626,2078.1263177603173,7.181505684691722e-09,192.02692634564548,47.96623051268754,False
Weibull,Best-MSE (curve_fit),[  1.91401403 -59.72664378  92.53084538],3.912179808357977e-22,2359.1937159850595,2369.028059962751,1.123104570252873e-08,82.08979730506628,44.643309920524366,False
Esponenziale,Best-MSE (curve_fit),[-21.72103826  64.60219618],1.1897745347588082e-14,1982.4101221331384,1988.9663514515994,7.964745422250154e-08,42.88115791258028,64.60219617706242,True
Normale,Best-MSE (curve_fit),[13.76991317 46.93822368],1.305412250696813e-26,2858.557894741172,2865.114124059633,2.0583890816126845e-08,13.76991317492321,46.93822367944076,False
