Distribuzione,Metodo,LogLikelihood,KS_pvalue,param_mu,CI_lower_mu,CI_upper_mu,param_sigma,CI_lower_sigma,CI_upper_sigma,param_shape,CI_lower_shape,CI_upper_shape,param_loc,CI_lower_loc,CI_upper_loc,param_scale,CI_lower_scale,CI_upper_scale
normale,MLE,-7002.823656962297,4.50954558244499e-45,1187.568300819904,1066.0178965666526,1311.355243550325,1790.9586658460307,1637.276248619458,1947.743469260283,,,,,,,,,
normale,MoM,-7002.823656962297,4.50954558244499e-45,1187.568300819904,1072.6209779827536,1323.1062118674017,1790.9586658460307,1622.3656225121101,1970.9281869957808,,,,,,,,,
lognormale,MLE,-6161.114539652934,0.007964899282935204,,,,,,,2.1317618019170497,2.0152748601668793,2.245222999624608,0.0,0.0,0.0,287.91946583665145,245.73318247544407,333.60743675563157
lognormale,MoM,-6161.114539652934,0.007964899282935204,,,,,,,2.1317618019170497,2.014511988803262,2.239208965822246,0.0,0.0,0.0,287.91946583665145,247.72862417552597,333.96801713301437
esponenziale,MLE,-6350.462180561429,1.2614990288881727e-41,,,,,,,,,,,,,0.2311111111111111,0.2311111111111111,0.3591666666666667
esponenziale,MoM,-933428.0225877753,0.0,,,,,,,,,,,,,0.000842056831013083,0.0007564105526384258,0.0009409814051935041
