Distribuzione,FitType,Parametri,KS_pvalue,AIC,BIC,MSE_KDE_PDF,FitMean,FitStd,Plausible
Lognormale,Best-MSE (curve_fit),[  1.74573839  -4.79505973 353.50526646],3.9427572112854266e-85,2514.1311367179305,2523.965480695622,3.204344071333952e-08,1622.4613674631048,7267.609414539426,False
Weibull,Best-MSE (curve_fit),[   2.13046984 -279.07055477  335.38113028],3.573400949171509e-44,3284.051033619422,3293.8853775971133,3.975012760788849e-09,297.02320678400486,146.68739825800776,False
Esponenziale,Best-MSE (curve_fit),[-105.50710571  181.33656209],2.980421220637445e-35,2591.328786201005,2597.8850155194664,9.671286067399827e-09,75.82945637765447,181.33656208859688,False
Normale,Best-MSE (curve_fit),[ -1.48989879 160.22821838],1.4685845147355561e-46,3612.307924161958,3618.864153480419,4.246106229614741e-09,-1.489898786205838,160.22821838180394,False
