Distribuzione,FitType,Parametri,KS_pvalue,AIC,BIC,MSE_KDE_PDF,FitMean,FitStd,Plausible
Lognormale,Best-MSE (curve_fit),[ 1.51668511e-01 -1.04286541e+03  1.06960321e+03],3.173219872623594e-152,14400.320255508774,14414.683790455703,2.1338110195460744e-09,1081.9764510836098,165.05001753064434,False
Weibull,Best-MSE (curve_fit),[   2.46385551 -329.13696078  407.46719477],1.467949796696757e-161,20536.06136054815,20550.424895495078,2.211599761273339e-09,361.4070659516398,156.67817970016026,False
Esponenziale,Best-MSE (curve_fit),[-99.41646391 202.89788183],2.466054311524527e-120,12184.149277815777,12193.724967780396,9.838121712740435e-09,103.48141792448192,202.89788183055632,False
Normale,Best-MSE (curve_fit),[ 19.52930378 167.89754384],2.5653544239946852e-167,20491.16139848627,20500.73708845089,2.2298661586945693e-09,19.52930378180949,167.89754383894274,False
