ticket_id,arrival_time,closed_time,total_time,dev_review_cycles,test_cycles,wait_dev_review,wait_testing
1,0.0,5.275642522592922,5.275642522592922,1,1,0.0,0.0
2,2.624928113324409,22.40857067441087,19.783642561086463,2,1,0.0,0.0
3,14.450061470993848,37.97060000069217,23.520538529698324,1,1,0.0,0.0
4,17.73480659142657,52.39381041185304,34.65900382042647,1,1,0.0,0.0
5,18.63061283122797,35.52664130729891,16.89602847607094,1,1,0.4603951336475234,0.0
6,30.21640551116858,38.60967316806021,8.39326765689163,1,1,0.0,0.6312164517677346
7,36.27045664890952,44.76283896362786,8.492382314718334,1,1,0.0,0.0
8,39.15954814660073,46.385334460097965,7.225786313497238,1,1,0.0,0.0
9,41.91841140552033,45.97237694636728,4.053965540846946,1,1,0.0,0.6352775431506004
10,63.34544778880502,105.10593008990962,41.7604823011046,1,1,0.0,0.0
11,77.76288486879457,85.30686183995917,7.5439769711645965,1,1,0.0,0.0
12,80.99391583673562,96.40221478550788,15.408298948772256,1,1,0.0,0.0
13,84.52743959845084,99.26940104474146,14.741961446290617,1,1,0.0,0.0
14,88.16522849485091,169.36081365323986,81.19558515838895,2,1,6.876367156418965,0.0
15,89.48457822106359,120.27694307611276,30.792364855049172,2,1,6.495437717035244,0.0
16,102.237708069568,152.76513361180892,50.52742554224092,3,3,0.0,0.0
17,102.67820496982307,118.77423377810094,16.096028808277865,1,1,2.4311163947355823,0.0
18,122.27548174582537,142.64067172179324,20.365189975967866,1,1,0.0,0.0
19,142.18615379116054,153.61481685784784,11.428663066687307,1,1,0.0,0.0
20,146.9629485127902,181.25230375405408,34.28935524126388,3,1,0.0,0.0
21,164.67356179029642,170.04789073168732,5.3743289413909,1,1,0.0,0.0
22,171.77214377142752,186.55675945909746,14.784615687669941,1,1,0.0,0.0
23,174.98526027200128,214.83403232225535,39.84877205025407,3,1,0.0,0.0
24,177.3831054454319,191.16747812457004,13.78437267913813,1,1,0.797407020047757,0.0
25,183.63698941334573,191.4355718318247,7.798582418478958,1,1,0.0,0.0
26,197.90850407457168,221.6052177064855,23.69671363191381,1,1,0.0,0.0
27,199.06384629257093,205.2084224523776,6.144576159806661,1,1,0.0,0.0
28,207.1193948864189,224.9512432124246,17.831848326005712,1,1,0.0,0.0
29,210.78643738408095,243.84134279718697,33.05490541310601,2,2,7.268124367231962,0.0
30,210.9172600526531,249.9769733226485,39.0597132699954,1,1,6.773348380387148,5.40582957337503
31,212.51970725869842,228.43760890431534,15.917901645616922,1,1,5.600739758294765,0.0
32,213.95394752262106,247.13459246796486,33.1806449453438,2,2,9.710551935983972,1.9053910404733756
33,226.57487909922935,244.39275700665837,17.817877907429022,1,1,5.317476232008175,0.0
34,245.61970350290918,299.59788503262865,53.97818152971948,2,2,1.605668610567136,0.0
35,249.8580636899274,261.5520512757281,11.693987585800699,1,1,0.0,0.0
36,250.6665448722746,257.18919673689976,6.522651864625146,1,1,0.0,0.0
37,251.8269295414908,276.40929301194257,24.582363470451753,1,1,4.87401508079671,0.0
38,265.6034630876517,293.3595832629411,27.756120175289425,1,1,0.0,0.0
39,270.40346991407563,285.7269691550574,15.32349924098179,1,1,0.0,0.0
40,275.25458700444796,298.99838776247464,23.74380075802668,1,1,5.512275199648741,2.3294797544823496
41,284.06806043078757,294.60872913976095,10.540668708973385,2,1,0.0,0.0
42,284.17933808597667,355.2337352599658,71.05439717398912,3,1,18.8931580881885,0.0
43,284.7604757304761,306.2550922184069,21.494616487930784,2,1,6.443050006375756,0.0
44,294.7196062217651,304.1241448871734,9.404538665408268,1,1,2.146380003234981,0.0
45,296.08534226743456,354.3238101212791,58.238467853844554,4,2,2.992666483660514,0.0
46,315.95496605167824,358.0286240325788,42.07365798090058,2,1,7.149379608203731,0.0
47,323.33406816184964,344.5153385484225,21.181270386572862,1,1,5.8259762215803335,0.0
48,324.93416090627227,353.4027740524255,28.468613146153245,1,1,13.081666886749872,0.0
49,342.79510968804374,376.96468496904015,34.16957528099641,1,1,5.636439243012433,0.0
50,345.044646076727,359.5036131621135,14.458967085386462,1,1,9.340133310980377,0.0
51,348.49871730794484,381.555035004706,33.05631769676114,1,1,6.312143801254308,0.0
52,354.07031786524857,370.70770087660253,16.63738301135396,1,1,3.8607756788161964,0.0
