# v3.2A-001
# file: data/state_parameters/matrix_P.csv
,OFF,DEV,REV,TEST
OFF,0.007751937984496124,0.5503875968992248,0.17829457364341086,0.26356589147286824
DEV,0.00510204081632653,0.3112244897959184,0.6479591836734694,0.03571428571428571
REV,0.17346938775510204,0.29081632653061223,0.2193877551020408,0.3163265306122449
TEST,0.8230088495575221,0.061946902654867256,0.02654867256637168,0.08849557522123894
