length,prob
0.001,0.06666666666666667
0.002,0.01904761904761905
0.003,0.01904761904761905
0.004,0.009523809523809525
0.005,0.02857142857142857
0.012,0.01904761904761905
0.015,0.009523809523809525
0.016,0.009523809523809525
0.026,0.009523809523809525
0.027,0.009523809523809525
0.042,0.009523809523809525
0.056,0.009523809523809525
0.071,0.009523809523809525
0.118,0.009523809523809525
0.149,0.009523809523809525
0.182,0.009523809523809525
0.183,0.009523809523809525
0.233,0.009523809523809525
0.335,0.009523809523809525
0.356,0.009523809523809525
0.367,0.009523809523809525
0.397,0.009523809523809525
0.404,0.009523809523809525
0.406,0.009523809523809525
0.589,0.009523809523809525
0.663,0.009523809523809525
0.686,0.009523809523809525
0.703,0.009523809523809525
0.84,0.009523809523809525
0.906,0.009523809523809525
0.978,0.009523809523809525
1.124,0.009523809523809525
1.349,0.009523809523809525
1.508,0.009523809523809525
1.599,0.009523809523809525
1.612,0.009523809523809525
1.621,0.009523809523809525
2.143,0.009523809523809525
2.192,0.009523809523809525
2.807,0.009523809523809525
2.814,0.009523809523809525
3.197,0.009523809523809525
3.416,0.009523809523809525
3.719,0.009523809523809525
3.746,0.009523809523809525
4.387,0.009523809523809525
6.767,0.009523809523809525
6.882,0.009523809523809525
7.87,0.009523809523809525
8.241,0.009523809523809525
8.926,0.009523809523809525
9.839,0.009523809523809525
10.556,0.009523809523809525
11.18,0.009523809523809525
13.253,0.009523809523809525
13.828,0.009523809523809525
13.956,0.009523809523809525
13.986,0.009523809523809525
14.062,0.009523809523809525
14.486,0.009523809523809525
14.669,0.009523809523809525
14.86,0.009523809523809525
16.369,0.009523809523809525
16.454,0.009523809523809525
17.574,0.009523809523809525
19.773,0.009523809523809525
20.157,0.009523809523809525
23.137,0.009523809523809525
24.078,0.009523809523809525
26.15,0.009523809523809525
26.399,0.009523809523809525
31.642,0.009523809523809525
34.414,0.009523809523809525
39.738,0.009523809523809525
42.161,0.009523809523809525
43.376,0.009523809523809525
43.406,0.009523809523809525
46.207,0.009523809523809525
48.911,0.009523809523809525
50.223,0.009523809523809525
64.175,0.009523809523809525
73.996,0.009523809523809525
74.945,0.009523809523809525
78.833,0.009523809523809525
88.843,0.009523809523809525
92.021,0.009523809523809525
102.086,0.009523809523809525
113.975,0.009523809523809525
118.497,0.009523809523809525
129.661,0.009523809523809525
130.113,0.009523809523809525
161.476,0.009523809523809525
181.504,0.009523809523809525
190.718,0.009523809523809525
