ticket_id,arrival_time,closed_time,total_time,dev_review_cycles,test_cycles,wait_dev_review,wait_testing
1,0.0,56.46442696980478,56.46442696980478,2,2,0.0,0.0
2,7.966330566622705,14.763325854861813,6.796995288239108,1,1,0.0,0.0
3,13.071758036573021,25.48588800219741,12.414129965624388,2,1,0.0,0.0
4,13.366291777385513,22.75611429865963,9.389822521274116,2,1,0.0,0.0
5,26.703489429165188,40.20293722740953,13.49944779824434,1,1,0.0,0.0
6,26.944663224077065,40.66669148090531,13.722028256828242,2,1,0.0,0.0
7,34.42026671923657,75.01762869783961,40.59736197860304,1,1,0.0,0.0
8,34.91971517019917,57.19526270895048,22.27554753875131,1,1,3.882220134761326,0.0
9,38.7221912980873,109.34082050353663,70.61862920544934,4,3,3.4922003439554388,5.009523285852474
10,49.32855985038258,58.47280578020249,9.14424592981991,1,1,0.0,0.0
11,76.22879425259222,92.47296180916568,16.24416755657346,1,1,0.0,0.0
12,81.26491734053594,111.01683948773368,29.75192214719773,1,1,0.0,0.40053423349294803
13,83.87193792822943,101.1330983164714,17.261160388241976,2,1,4.821846604684538,0.0
14,85.10803599424833,108.51181366773645,23.403777673488122,2,1,5.772490090753038,1.7976130656348204
15,101.40928038576938,107.57755501254557,6.168274626776196,1,1,0.0,0.0
16,102.46287258753291,153.02321433723026,50.56034174969734,3,2,8.464853025685443,1.7658941969804687
17,119.46305287950096,128.54531106233136,9.082258182830401,1,1,0.0,0.0
18,122.97686201691343,125.70600488363064,2.7291428667172113,1,1,0.0,0.0
19,124.92982896187614,135.44646566310226,10.516636701226119,1,1,0.0,0.0
20,125.8474859080248,191.0972500477385,65.2497641397137,4,1,32.94477821525972,0.0
21,127.83927371085294,141.6924948149902,13.853221104137262,1,1,1.0873086340446747,0.0
22,132.22880638396578,183.71538855250876,51.48658216854298,3,2,5.5609535253115325,0.0
23,136.41287329861433,230.8300001058562,94.41712680724186,4,3,48.626836687409394,0.0
24,136.7623934748563,217.92159673008845,81.15920325523214,3,1,29.898056508165865,0.0
25,152.78119474873827,170.08448574445669,17.303290995718413,1,1,5.198618596472102,0.0
26,155.2464680081367,196.03982757368658,40.79335956554988,1,1,4.356171899126679,0.0
27,158.45408213362447,173.21621567651505,14.76213354289058,1,1,8.750822967966712,0.0
28,160.01867636600002,223.58925937510577,63.570583009105746,2,1,47.65723268698008,0.0
29,163.30550163688767,200.19040260877767,36.884900971890005,1,1,18.597132154886623,0.0
30,170.27335133398867,221.94955692259353,51.67620558860486,1,1,19.71730169237435,0.0
31,175.26451353617728,223.18620646850076,47.92169293232348,1,1,16.856959140471844,1.469276571767665
32,185.72270283439545,252.66037331347889,66.93767047908344,2,1,46.593248493706454,0.0
33,189.52977085340635,261.4039682737151,71.87419742030878,2,2,46.650943604126724,1.9358402492885887
34,191.98259892432696,315.4391733527414,123.45657442841446,4,3,34.14650380876009,0.0
35,204.10593820942634,289.1411100730888,85.03517186366244,3,2,31.33327759082937,0.0
36,204.601438193768,264.38292341355077,59.78148521978278,1,1,30.51405078264878,0.49431972433856686
37,248.8817911565052,266.11118411114455,17.229392954639366,1,1,1.8427419076851095,0.9524706517030381
38,264.6667533114872,275.3036580224368,10.636904710949636,1,1,0.0,0.0
39,274.8596733851649,281.77591121600057,6.916237830835655,1,1,0.0,0.0
40,280.21438498541573,291.11806222541935,10.903677240003617,1,1,0.0,0.0
41,283.8199727294176,297.0642724975932,13.244299768175608,1,1,0.0,0.0
42,283.8607323773319,317.32094422492486,33.46021184759297,2,2,5.97466739319043,0.0
43,299.2960283092852,315.1544207492321,15.858392439946897,2,2,0.0,0.0
44,308.48196663163714,321.16289353917176,12.680926907534626,1,1,0.0,0.0
45,327.5784241800646,343.8612998780823,16.282875698017733,1,1,0.0,0.0
46,327.84614924411005,350.2303851051408,22.38423586103073,2,1,0.0,0.0
47,335.6778169356339,366.27891292828195,30.601095992648027,2,2,1.7413647516936521,0.0
48,341.1275688935512,368.88571844621515,27.75814955266395,1,1,0.149555699244047,0.0
49,342.9111232871887,357.7392604765595,14.828137189370807,1,1,1.319966479788036,0.0
50,344.94471637285847,396.74437848396565,51.79966211110718,2,1,19.065521633787625,3.797715869457079
51,348.83104592197435,374.28326940827526,25.45222348630091,1,1,7.921291802462179,0.0
52,351.82114433182124,398.83391646618117,47.01277213435992,1,1,10.111129674006065,0.0
53,354.5877613433136,387.3917533601626,32.80399201684901,1,1,12.056506795283326,0.0
54,356.25435500861937,438.7311770792069,82.4768220705875,3,2,46.39430824074401,0.0
55,359.44422326471243,474.1053160729185,114.66109280820609,3,2,56.69709845532509,2.8965129770187446
56,372.72469714354463,409.60701680676453,36.8823196632199,1,1,9.00240924183214,0.0
57,374.08687488461777,485.2236842551398,111.13680937052203,4,1,81.20784777839492,0.0
58,379.23236938466056,419.91105894870316,40.6786895640426,1,1,10.601330850959243,0.0
59,380.9103369602114,411.48150525970374,30.571168299492342,1,1,17.381301754175524,0.0
60,386.8493517518432,426.0317150721972,39.182363320354,1,1,20.341923706807165,0.0
61,406.9338591312067,429.5735218066143,22.63966267540758,1,1,8.829569196676061,0.0
62,407.51401764037314,441.7780949839006,34.26407734352745,1,1,15.375845050343912,0.0
63,410.57151870408893,452.30731348892016,41.73579478483123,1,1,25.5303991813866,0.0
64,411.03200739479234,447.4607524110854,36.42874501629308,1,1,27.27966241174039,0.0
65,412.7340373237131,469.3955211878471,56.66148386413403,1,1,32.70805703997155,0.1876774965247705
66,423.10895876449916,468.58670312277013,45.47774435827097,1,1,25.300247545462298,0.0
67,423.45923894343724,522.1314419901331,98.67220304669587,3,2,73.62705777488804,0.18774431807673864
68,427.786171699497,544.9426932462551,117.15652154675809,4,3,83.53829113951849,1.6613850724398844
69,437.41563757576694,469.2888746915017,31.873237115734753,1,1,24.910727076145747,1.1920647328833525
70,444.0005099767912,505.12323530007507,61.12272532328387,2,1,41.36525400380907,0.0
71,448.28897618446985,483.10023098075436,34.811254796284516,1,1,18.192977613015785,0.9712687178467263
72,448.81544108607676,516.2651120793325,67.44967099325578,2,2,41.36796907217632,0.0
73,452.12058929240385,488.75554977050456,36.63496047810071,1,1,22.078056130747996,0.0
74,455.80884219639546,518.5399147323329,62.73107253593747,2,1,42.33482985139801,0.0
75,456.0199612577428,488.31331416606736,32.29335290832455,1,1,23.571934155606357,1.595709064226071
76,456.9375777170035,490.09193985354017,33.15436213653669,1,1,26.22329888871974,0.08250045616705393
77,459.92298244645144,522.0597232729465,62.13674082649504,2,1,45.325853997205456,2.329079126048555
78,465.4757171056305,549.6912486424801,84.2155315368496,3,2,55.44636049991465,0.0
79,471.8749852089007,501.5565730692248,29.6815878603241,1,1,19.79974778959155,0.0
80,474.50293563987566,508.3423037651521,33.83936812527645,1,1,23.936452981605385,0.0
81,475.1377000673248,509.6729626237965,34.53526255647171,1,1,24.10440063887802,0.0
82,482.62203542603504,518.145888558753,35.52385313271793,1,1,21.996141353668918,1.0486804731524444
83,490.3831344883834,551.1667641438793,60.78362965549587,2,2,28.371588444667907,2.399802029585203
84,495.2828004682938,539.9129042217697,44.630103753475964,1,1,24.028964390450028,0.0
85,501.1734892587546,564.5580714268236,63.38458216806902,4,2,32.7088398111253,3.092875595381088
86,513.5666670704057,544.4377899779319,30.871122907526114,1,1,9.650565177124008,0.0
87,535.9562426599782,554.4198317236547,18.463589063676523,1,1,5.261093023481408,1.6686316245601347
88,538.7471009430379,554.095274516421,15.348173573383065,1,1,3.2908870053087185,1.9435760133550275
89,549.4927719867871,558.8423991914422,9.349627204655008,1,1,0.0,0.0
90,554.3892341900957,566.4533139704017,12.064079780305974,1,1,0.0,0.0
91,558.0286961121122,569.2667055372516,11.238009425139353,1,1,0.0,1.0165732996646284
92,578.6820839480731,588.8524259342079,10.170341986134758,1,1,0.0,0.0
93,584.2289285956612,598.895804805706,14.666876210044848,2,2,0.0,0.0
94,589.5747804786967,608.5233454212793,18.948564942582607,2,1,0.0,0.0
95,597.782598620874,614.7379069232018,16.955308302327808,2,1,0.0,0.0
96,602.1264115815707,620.5173346146635,18.390923033092804,2,2,0.0,0.0
97,608.6626067735932,659.1655964164487,50.50298964285548,3,2,16.150364159991,0.6992663408027511
98,613.5806857781934,633.4466942860658,19.866008507872493,1,1,0.0,0.0
99,615.377993338103,670.5407247558038,55.1627314177008,2,2,16.270724073871747,0.0
100,620.7055925623424,637.0207254889136,16.31513292657121,1,1,0.0,0.0
101,627.2817475862306,636.938558126035,9.656810539804383,1,1,2.35988006833702,0.0
102,627.3751236793928,650.1093198309063,22.734196151513515,1,1,2.6087357310362904,0.0
103,628.5406251922371,648.8298888118525,20.289263619615326,1,1,3.534849295820095,0.0
104,629.2215123096709,684.7985472400732,55.577034930402306,3,1,17.648307482168207,4.204779543137761
105,635.4975719750765,684.5906959240033,49.093123948926745,2,1,19.52426023215503,0.0
106,637.0221421733002,668.3281754381042,31.306033264804,1,1,17.70464558652543,0.0
107,658.7225145497383,679.6331855513931,20.910671001654805,2,1,3.78053351121207,0.0
108,661.4331553855963,696.5071461893702,35.073990803773995,2,2,9.55260110996062,0.0
109,672.9301786107848,685.1706000551272,12.240421444342473,1,1,3.257276492474716,0.3385501926319421
110,676.3129426210944,692.8623951921886,16.549452571094207,1,1,2.9816927376667763,0.0
111,677.2596553257896,695.3918922389688,18.132236913179213,2,1,3.126261055075929,1.844219165613822
112,688.3365315885301,704.80831178087,16.471780192339907,1,1,0.0,0.0
113,700.779485153216,708.5699654381027,7.790480284886712,1,1,0.0,0.0
114,704.4050079221367,716.0885049034401,11.683496981303392,1,1,0.0,0.0
115,713.5062778958535,787.3219818370897,73.81570394123617,5,2,14.491747373219027,0.0
116,714.5619360810072,721.5038365170697,6.941900436062497,2,1,0.0,0.0
117,716.0003704642613,722.0776067908441,6.077236326582806,1,1,0.0,0.0
118,728.859701450299,740.45722613494,11.59752468464103,1,1,0.0,0.0
119,738.8400858630675,747.2549273241088,8.414841461041306,1,1,0.0,0.0
120,740.2507141556483,748.9011227544954,8.650408598847093,1,1,0.0,0.0
121,748.0681425108205,777.8290756299034,29.760933119082893,1,1,0.0,3.194166849900057
122,749.6633016939032,770.7020565169605,21.038754823057275,1,1,0.0,0.0
123,751.305565421956,773.8338493136367,22.528283891680758,1,1,4.892693733750093,0.0
124,753.6673027050367,775.4610237076334,21.793721002596726,1,1,13.405518861432142,0.6597913106423903
125,756.0397583457291,788.747855916363,32.70809757063398,2,1,15.833022307067722,2.652905571568681
126,757.0990816533072,780.0232428285287,22.92416117522157,1,1,13.93343893899214,0.0
127,763.4310764870498,784.6227718984878,21.19169541143799,1,1,9.742981515944507,0.5076237787002356
128,778.4694295424291,792.8988698139418,14.429440271512703,1,1,0.9736528617833073,0.19056470067266673
129,801.2812762690304,810.5744750932317,9.29319882420134,1,1,0.0,0.0
130,806.2305509090626,820.9110691896615,14.680518280598903,1,1,0.0,0.0
131,808.0122132777383,830.3888077201626,22.376594442424334,1,1,0.0,0.0
132,823.1986028349779,835.5572379598917,12.358635124913803,1,1,0.0,0.0
133,826.180633733049,836.8574790866578,10.676845353608769,1,1,0.0,0.0
134,829.2370387352129,847.3601256309877,18.123086895774804,1,1,0.0,0.0
135,829.3486514995759,838.1997470361639,8.85109553658799,1,1,0.0,1.225673869155571
136,831.7394435507838,847.1971487305722,15.457705179788377,1,1,0.4982106436322056,0.0
137,832.703121393296,860.9899771012595,28.28685570796347,3,2,3.2029896061926593,0.17244374004997098
138,834.5233858038744,867.0809715082612,32.55758570438684,2,2,7.0839266058321755,0.0
139,843.2893061243147,904.7713135175438,61.48200739322908,2,2,0.0,0.0
140,851.9247875214814,873.837212201448,21.912424679966534,2,1,7.1081107250525974,0.0
141,855.5153482471069,948.3678372662713,92.85248901916441,4,2,21.82794905153537,0.0
142,868.5022968179293,880.7859959356811,12.28369911775178,1,1,4.8670684761710845,0.0
143,878.2142921572424,883.0766058319625,4.862313674720099,1,1,0.0,0.0
144,879.4596838302625,890.793470732504,11.333786902241513,1,1,0.0,0.0
145,886.856252092097,900.7434045300905,13.887152437993564,1,1,0.0,0.0
146,894.4266061248043,960.806213397347,66.37960727254278,3,3,18.75610730315907,2.2740263552708484
