ticket_id,arrival_time,closed_time,time_in_system,is_closed,dev_cycles,review_cycles,test_cycles,wait_dev,wait_review,wait_testing,total_wait,service_time_dev,service_time_review,service_time_testing,service_starts_dev,service_starts_review,service_starts_testing,service_completions_dev,service_completions_review,service_completions_testing,markov_time_dev,markov_time_rev,markov_time_test,markov_time_off,markov_stint_counts
1,0.0,3.969769630591015,3.969769630591015,True,1,1,1,0.0,0.0,0.0,0.0,2.097632996687993,1.87202629683112,0.00011033707190180283,1,1,1,1,1,1,,,,,
2,7.3243533702734736,9.741195676777538,2.4168423065040647,True,1,1,1,0.0,0.0,0.0,0.0,9.024203093565778e-05,2.416135463122175,0.0006166013509533752,1,1,1,1,1,1,,,,,
3,14.648706740546947,29.282984254313153,14.634277513766206,True,1,1,1,0.0,0.0,0.0,0.0,14.21543570682684,0.4188192145484929,2.259239087366912e-05,1,1,1,1,1,1,,,,,
4,21.97306011082042,42.008635360421,20.035575249600583,True,1,1,1,0.0,0.0,0.0,0.0,19.37470010605491,0.6608717380496376,3.4054960363594777e-06,1,1,1,1,1,1,,,,,
5,29.297413481093894,30.09922623475334,0.8018127536594442,True,1,1,1,0.0,0.0,0.0,0.0,0.17534546125035613,0.6236222438675691,0.0028450485415212595,1,1,1,1,1,1,,,,,
6,36.62176685136737,37.95670362813989,1.3349367767725226,True,1,1,1,0.0,0.0,0.0,0.0,0.00012205508342549283,1.2717016286303453,0.06311309305875457,1,1,1,1,1,1,,,,,
7,43.94612022164084,51.318594283973304,7.372474062332465,True,1,1,1,0.0,0.0,0.0,0.0,7.146858942740234,0.22549188579640386,0.00012323379582629296,1,1,1,1,1,1,,,,,
8,51.27047359191431,51.642070909425314,0.37159731751100367,True,1,1,1,0.0,0.0,0.0,0.0,0.1093842075489866,0.2607645531724451,0.0014485567895763233,1,1,1,1,1,1,,,,,
9,58.59482696218778,63.819461603944276,5.224634641756495,True,1,1,1,0.0,0.0,0.0,0.0,0.01036029010143276,5.213945485887597,0.00032886576746332907,1,1,1,1,1,1,,,,,
10,65.91918033246125,79.201425973116,13.28224564065475,True,1,1,1,0.0,0.0,0.0,0.0,0.08692595380912872,13.195318935816818,7.510288065887143e-07,1,1,1,1,1,1,,,,,
11,73.24353370273472,185.20056835591524,111.95703465318051,True,1,1,1,0.0,0.0,0.0,0.0,0.13469467187279058,111.09838312344685,0.7239568578608753,1,1,1,1,1,1,,,,,
12,80.5678870730082,87.59298350164507,7.025096428636871,True,1,1,1,0.0,0.0,0.0,0.0,0.01805570471244858,6.620303539076105,0.3867371848483215,1,1,1,1,1,1,,,,,
13,87.89224044328166,88.00843885651119,0.11619841322952595,True,1,1,1,0.0,0.0,0.0,0.0,0.049337642909042384,0.047336901703975774,0.019523868616517226,1,1,1,1,1,1,,,,,
14,95.21659381355514,95.37814876960898,0.1615549560538483,True,1,1,1,0.0,0.0,0.0,0.0,0.0008217730569059292,0.16072442254815983,8.760448780714069e-06,1,1,1,1,1,1,,,,,
15,102.5409471838286,104.42110417778922,1.880156993960611,True,1,1,1,0.0,0.0,0.0,0.0,0.18090514033823482,1.6916431883446683,0.007608665277704314,1,1,1,1,1,1,,,,,
16,109.86530055410208,300.0309321017226,190.16563154762054,True,1,1,1,0.0,0.0,0.0,0.0,160.32846137133325,28.606515119874608,1.2306550564127074,1,1,1,1,1,1,,,,,
17,117.18965392437555,230.7168094207379,113.52715549636234,True,1,1,1,0.0,0.0,0.0,0.0,0.0003161654880753433,113.52115645198047,0.005682878893779446,1,1,1,1,1,1,,,,,
18,124.51400729464902,128.14728352316743,3.6332762285184117,True,1,1,1,0.0,0.0,0.0,0.0,1.029361751279003e-06,3.6332440121290217,3.118702763157927e-05,1,1,1,1,1,1,,,,,
19,131.8383606649225,137.62531530518447,5.786954640261968,True,1,1,1,0.0,0.0,0.0,0.0,4.983614500398116,0.27594220522023216,0.527397934643629,1,1,1,1,1,1,,,,,
20,139.162714035196,,225.837285964804,False,1,0,0,0.0,0,0,0.0,448.2422027968647,0,0,1,0,0,0,0,0,,,,,
21,146.48706740546947,146.90289878234253,0.41583137687305793,True,1,1,1,0.0,0.0,0.0,0.0,0.0021033948513904475,0.41372784542467855,1.365969793607407e-07,1,1,1,1,1,1,,,,,
22,153.81142077574296,,211.18857922425704,False,1,1,0,0.0,0.0,0,0.0,0.01912718141868325,417.5313857479324,0,1,1,0,1,0,0,,,,,
23,161.13577414601644,,203.86422585398356,False,1,0,0,0.0,0,0,0.0,7652.813757894442,0,0,1,0,0,0,0,0,,,,,
24,168.46012751628993,229.76219162696634,61.30206411067641,True,1,1,1,0.0,0.0,0.0,0.0,3.559465237910037,57.736254575127916,0.00634429763846829,1,1,1,1,1,1,,,,,
25,175.78448088656341,,189.21551911343659,False,1,0,0,0.0,0,0,0.0,647.7333377245509,0,0,1,0,0,0,0,0,,,,,
26,183.1088342568369,202.8164124975483,19.7075782407114,True,1,1,1,0.0,0.0,0.0,0.0,19.67555478922796,0.029470400906702894,0.002553050576762831,1,1,1,1,1,1,,,,,
27,190.43318762711039,190.51660936291682,0.0834217358064393,True,1,1,1,0.0,0.0,0.0,0.0,0.0002660292252531257,0.08314454607828389,1.1160502919779652e-05,1,1,1,1,1,1,,,,,
